# Single SKU Max Power Table (unit is 1 dBm)                                                   
# 2.4G Channel                                                   
Band: 2.4G MaxPower_4T MaxPower_3T MaxPower_2T                                                
Ch1 14 14 13                                                
Ch2 12 11 17                                                
Ch3 16 11 12                                                
Ch4 7 11 7                                                
Ch5 12 15 13                                                
Ch6 11 14 9                                                
Ch7 10 15 6                                                
Ch8 15 17 14                                                
Ch9 6 9 6                                                
Ch10 16 13 8                                                
Ch11 14 14 7                                                
Ch12 11 9 8                                                
Ch13 6 11 14                                                
Ch14 17 13 16                                                
                                                   
# 5G Channel                                                   
Band: 5G MaxPower_4T MaxPower_3T MaxPower_2T                                                
Ch184 15 10 14                                                
Ch188 10 17 15                                                
Ch192 6 12 8                                                
Ch196 13 6 8                                                
Ch8 12 13 11                                                
Ch12 11 10 16                                                
Ch16 12 13 11                                                
Ch36 9 9 12                                                
Ch40 7 15 7                                                
Ch44 17 15 13                                                
Ch48 8 7 8                                                
Ch52 8 11 10                                                
Ch56 11 10 11                                                
Ch60 7 6 15                                                
Ch64 13 16 11                                                
Ch68 6 9 13                                                
Ch72 13 16 17                                                
Ch76 12 13 6                                                
Ch80 17 14 6                                                
Ch84 11 7 7                                                
Ch88 9 8 17                                                
Ch92 16 8 12                                                
Ch96 16 13 6                                                
Ch100 8 7 13                                                
Ch104 13 14 10                                                
Ch108 14 8 6                                                
Ch112 16 17 12                                                
Ch116 16 13 12                                                
Ch120 7 10 7                                                
Ch124 14 13 9                                                
Ch128 17 10 17                                                
Ch132 12 6 11                                                
Ch136 17 17 10                                                
Ch140 6 15 6                                                
Ch144 12 7 10                                                
Ch149 9 12 16                                                
Ch153 10 15 11                                                
Ch157 8 8 14                                                
Ch161 11 6 7                                                
Ch165 11 7 15                                                
Ch169 17 6 13                                                
Ch173 8 15 12                                                
Ch177 10 15 7                                                
Ch181 13 11 10                                                
                                                   
                                                   
                                                   
                                                   
                                                   
                                                   
                                                   
